gvkey,companyname,conm,year,n_ai_deals,ai_deal_value_full_musd,ai_deal_value_split_musd,xrd,capx,at,sale,ai_deals_vs_rd_pct,ai_deals_vs_capx_pct,matched_compustat
001161,"Advanced Micro Devices, Inc.",ADVANCED MICRO DEVICES,2024,1,660.0,660.0,6456.0,636.0,69226.0,25785.0,10.223048327137546,103.77358490566037,True
005606,HP Inc.,HP INC,2025,1,120.0,120.0,1602.0,897.0,41769.0,55295.0,7.49063670411985,13.377926421404682,True
006066,International Business Machines Corporation,INTL BUSINESS MACHINES CORP,2025,1,11600.0,11600.0,8316.0,1091.0,151880.0,67535.0,139.49013949013948,1063.2447296058663,True
008045,"Horizons Holdings International, Corp.",,2019,1,9.2,9.2,,,,,,,False
012141,Microsoft Corporation,MICROSOFT CORP,2021,1,16500.0,16500.0,20716.0,20622.0,333779.0,168088.0,79.64858080710562,80.01163805644457,True
012141,Microsoft Corporation,MICROSOFT CORP,2025,1,40000.0,5000.0,32488.0,64551.0,619003.0,281724.0,15.390297956168432,7.745813387863859,True
013071,"RadNet, Inc.",RADNET INC,2020,1,42.4,42.4,,94.172,1786.657,1071.84,,45.023998640784946,True
016564,"Global AI, Inc.",GLOBAL AI INC,2025,1,1.0,1.0,0.0,0.079,4.049,0.144,inf,1265.8227848101267,True
017001,fuboTV Inc.,FUBOTV INC,2018,1,190.0,190.0,,0.0,286.101,0.0,,inf,True
020129,Materialise NV,MATERIALISE NV,2021,1,33.5,33.5,30.584,9.024,470.18,233.664,109.5343970703636,371.23226950354615,True
020801,Kinaxis Inc.,KINAXIS INC,2020,1,60.4,60.4,47.42,14.439,428.41,224.189,127.37241670181358,418.31151741810373,True
021815,"Triumph Financial, Inc.",TRIUMPH FINANCIAL INC,2025,1,160.0,80.0,,16.446,6380.588,504.552,,486.44047184725764,True
021847,"HubSpot, Inc.",HUBSPOT INC,2025,1,25.0,25.0,905.943,53.165,3854.151,3131.266,2.7595555128744302,47.02341766199567,True
024310,RenX Enterprises Corp.,RENX ENTERPRISES CORP,2024,1,0.25,0.25,,0.876,12.754,0.208,,28.538812785388128,True
024800,QUALCOMM Incorporated,,2026,1,3900.0,3900.0,,,,,,,False
028139,Sanmina Corporation,SANMINA CORP,2025,1,3000.0,3000.0,31.087,147.357,5858.173,8128.382,9650.336153376009,2035.8720657993852,True
029636,VivoPower PLC,,2026,1,13.0,13.0,,,,,,,False
031124,CloudMD Software & Services Inc.,,2020,1,4.4,2.2,,,,,,,False
033725,Datavault AI Inc.,DATAVAULT AI INC,2024,1,31.2,31.2,7.818,0.035,100.625,2.674,399.0790483499616,89142.85714285713,True
033725,Datavault AI Inc.,DATAVAULT AI INC,2025,1,150.0,150.0,16.498,0.38,274.704,39.089,909.2011152867013,39473.68421052631,True
034492,Nextech3D.AI Corporation,,2025,3,2.6999999999999997,2.6999999999999997,,,,,,,False
035138,"Oncotelic Therapeutics, Inc.",,2019,1,30.0,30.0,,,,,,,False
035182,"CrowdStrike Holdings, Inc.",CROWDSTRIKE HOLDINGS INC,2025,1,260.0,260.0,1384.77,370.859,11086.684,4812.005,18.77568116004824,70.10750716579616,True
035182,"CrowdStrike Holdings, Inc.",,2026,1,740.0,740.0,,,,,,,False
035362,Fobi AI Inc.,,2021,1,4.2,4.2,,,,,,,False
035794,SiTime Corporation,,2026,1,3000.0,3000.0,,,,,,,False
035948,Connexa Sports Technologies Inc.,AIRWA INC,2021,1,23.5,23.5,0.856,0.0,74.863,16.831,2745.3271028037384,inf,True
036965,Grab Holdings Limited,,2026,1,600.0,600.0,,,,,,,False
037685,Healwell AI Inc.,HEALWELL AI INC,2024,1,31.0,31.0,5.795,0.091,125.535,38.972,534.9439171699742,34065.93406593407,True
038059,SunPower Inc.,SUNPOWER INC,2024,1,45.0,45.0,,1.157,144.466,108.742,,3889.3690579083836,True
038087,"SoundHound AI, Inc.",SOUNDHOUND AI INC,2023,1,27.8,27.8,51.439,0.392,151.122,45.873,54.04459651237388,7091.836734693878,True
038087,"SoundHound AI, Inc.",,2026,1,45.2,45.2,,,,,,,False
038154,Aibotics Inc.,,2025,1,40.0,40.0,,,,,,,False
038407,"Azio AI, Inc.",AZIO AI HOLDINGS INC,2025,1,750.0,750.0,0.732,0.177,4.668,5.939,102459.01639344262,423728.81355932204,True
038491,"Kaltura, Inc.",KALTURA INC,2025,1,26.9,26.9,45.992,0.661,164.697,180.854,58.48843277091668,4069.591527987897,True
038592,"flyExclusive, Inc.",FLYEXCLUSIVE INC,2025,1,50.0,50.0,,58.432,439.996,375.877,,85.56955093099671,True
038839,Rocket Doctor AI Inc.,,2025,1,0.415,0.415,,,,,,,False
038866,Tristar Acquisition I Corp.,HELPORT AI LTD,2023,1,310.0,103.33333333333333,,,,,,,True
039434,"Guardforce AI Co., Limited",GUARDFORCE AI CO LTD,2021,1,2.0,2.0,0.0,5.235,41.752,35.153,inf,38.2043935052531,True
039434,"Guardforce AI Co., Limited",GUARDFORCE AI CO LTD,2022,5,68.5,67.45,0.1,4.402,61.167,34.478,67450.0,1532.258064516129,True
039552,"Healthcare Triangle, Inc.",HEALTHCARE TRIANGL INC,2025,1,50.0,50.0,0.536,0.006,22.736,13.891,9328.358208955224,833333.3333333334,True
039960,IREN Limited,,2026,1,630.0,630.0,,,,,,,False
043085,Aurelion Inc.,AURELION INC,2024,1,4.82,4.82,,0.0,6.328,0.64,,inf,True
043842,"NeOnc Technologies Holdings, Inc.",NEONC TECHNOLOGI HOLDING INC,2025,1,3.5,3.5,3.638,0.0,2.824,0.04,96.20670698185816,inf,True
045462,"Tempus AI, Inc.",TEMPUS AI INC,2024,1,600.0,600.0,316.844,22.121,926.116,693.398,189.3676383330598,2712.3547760047018,True
050621,Diginex Limited,,2025,1,1500.0,1500.0,,,,,,,False
063185,Check Point Software Technologies Ltd.,CHECK POINT SOFTWARE TECHN,2025,1,300.0,300.0,456.7,26.6,7806.4,2725.4,65.68863586599518,1127.8195488721803,True
101202,L'Air Liquide S.A.,L'AIR LIQUIDE SA,2008,1,20.0,20.0,222.843,2656.163,28679.682,18238.205,8.974928537131523,0.7529658383163985,True
101336,Schneider Electric S.E.,,2026,1,3100.0,1550.0,,,,,,,False
104796,Pinewood Technologies Group PLC,,2025,1,78.7,78.7,,,,,,,False
105364,"Digerati Technologies, Inc.",DIGERATI TECHNOLOGIES INC,2000,1,37.3,37.3,0.415,1.993,26.894,39.429,8987.951807228916,1871.5504264927242,True
117768,NVIDIA Corporation,NVIDIA CORP,2024,1,300.0,300.0,12914.0,3236.0,111601.0,130497.0,2.323060244695679,9.27070457354759,True
117768,NVIDIA Corporation,NVIDIA CORP,2025,1,40000.0,5000.0,18497.0,6042.0,206803.0,215938.0,27.031410498999836,82.75405494869248,True
121718,"Juniper Networks, Inc.",JUNIPER NETWORKS INC,2020,1,450.0,450.0,958.4,100.4,9378.3,4445.1,46.953255425709514,448.207171314741,True
124434,"BlackRock, Inc.",BLACKROCK INC,2025,1,40000.0,5000.0,,375.0,169998.0,24216.0,,1333.3333333333333,True
