keydevid,year,announcedate,buyer_names,companyname,objectroletype,headline,deal_stage,is_spac,deal_value_musd,value_source,gvkey
1939570594.0,2025,2025-04-14,"Kodiak AI, Inc.","Kodiak AI, Inc.",Buyer,"Kodiak Robotics, Inc. entered into a business combination agreement to acquire Ares Acquisition Corporation II (NYSE:AACT) from Ares Acquisition Holdings II LP and others for $3.3 billion in a reverse merger transaction.",proposal,True,3300.0,for-pattern,
1870918485.0,2024,2024-02-05,PJSC LUKOIL,Nebius Group N.V.,Seller,"A consortium of buyers including members of the senior management team of Yandex LLC, AMC ""Lerta Capital"" Ltd - Argonavt, PJSC LUKOIL (MISX:LKOH), Alexander Ryazanov, Alexander Chachayev and Pavel Prass entered into a definitive agreement to acquire Yandex LLC from Yandex N.V. (NasdaqGS:YNDX) and others for approximately RUB 480 billion.",definitive_agreement,False,,none,187118
1676961558.0,2021,2021-08-10,HotelPlanner.com And Reservations.com,,Transaction,HotelPlanner.com And Reservations.com entered into non-binding letter of intent to acquire Astrea Acquisition Corp. (NasdaqCM:ASAX) in a reverse merger transaction.,proposal,True,687.9,max-fallback,
710474927.0,2021,2021-04-06,Palladyne AI Corp.,,Transaction,Sarcos Corp. signed a non-binding term sheet to acquire Rotor Acquisition Corp. (NYSE:ROT) from a group of shareholders in a reverse merger transaction for approximately $1.5 billion.,proposal,True,1500.0,for-pattern,
1762306147.0,2021,2021-12-22,Gorilla Technology Group Inc.,Hudson Bay Capital Management LP,Seller,"Gorilla Technology Group, Inc. executed the letter of intent to acquire Global SPAC Partners Co. (NasdaqCM:GLSP.U) from a group of sellers for approximately $660 million in a reverse merger transaction.",letter_of_intent,True,660.0,for-pattern,
1772533811.0,2022,2022-02-24,FOXO Technologies Inc.,Shaolin Capital Management LLC,Seller,FOXO Technologies Inc. entered into a non-binding letter of intent to acquire Delwinds Insurance Acquisition Corp. (NYSE:DWIN) from a group of shareholders for $300 million in a reverse merger transaction.,definitive_agreement,True,300.0,for-pattern,
644099723.0,2019,2019-11-13,"ChaSerg Technology Acquisition Corp.; Grid Dynamics Holdings, Inc.",ChaSerg Technology Acquisition Corp.,Target,"Grid Dynamics International, Inc. signed a letter of intent to acquire ChaSerg Technology Acquisition Corp. (NasdaqCM:CTAC) in a reverse merger transaction.",definitive_agreement,True,224.0,max-fallback,034136
1892414395.0,2024,2024-08-23,Sundae Bar Plc,,Transaction,Ora Technology PLC (OFEX:ORA) entered into non-binding heads of terms to acquire Kondor AI Plc (OFEX:KNDR) for approximately £20.6 million in a reverse merger transaction.,definitive_agreement,False,,none,
1890633437.0,2024,2024-08-06,Sivers Photonics Ltd.,,Transaction,Sivers Photonics Ltd. has entered into a non-binding letter of intent to acquire byNordic Acquisition Corporation (NasdaqGM:BYNO) in a reverse merger transaction.,definitive_agreement,True,0.040312,max-fallback,
606329577.0,2019,2019-03-13,"Perimeter Medical Imaging AI, Inc.",,Transaction,Perimeter Medical Imaging Inc. entered into a non-binding letter of intent to acquire New World Resource Corp. (TSXV:NW) in a reverse merger transaction.,definitive_agreement,False,,none,
704774061.0,2021,2021-02-18,BlackSky Technology Inc.,"Osprey Sponsor II, LLC",Seller,"BlackSky Global LLC entered into a term sheet to acquire Osprey Technology Acquisition Corp. (NYSE:SFTW) from Glazer Capital, LLC, Aristeia Capital, LLC, Magnetar Financial LLC, Soroban Opportunities Master Fund, L.P., a fund managed by, Soroban Capital Partners LP, HGC Investment Management Inc., Osprey Sponsor II, LLC and others for $1 billion in a reverse merger transaction.",definitive_agreement,True,1000.0,for-pattern,
1890856916.0,2024,2024-08-08,Predictiv AI Inc.,Predictiv AI Inc.,Buyer,Shift Technologies Canada Inc. & HouseStack Holdings Inc. entered into a letter of intent to acquire Predictiv AI Inc. (TSXV:PAI.H) in a reverse merger transaction.,definitive_agreement,False,,none,
1953799024.0,2025,2025-07-17,Datavault AI Inc.,Datavault AI Inc.,Buyer,"Datavault AI Inc. (NasdaqCM:DVLT) entered into Stock Purchase Agreement to acquire API Media Innovations, Inc. from David Reese and Frank Tomaino for $11 million.",other,False,11.0,for-pattern,033725
1761819198.0,2021,2021-12-17,Rezolve AI PLC; Rezolve Limited,Magnetar Financial LLC,Seller,Rezolve AI Limited entered into a letter of intent to acquire Armada Acquisition Corp. I (NasdaqGM:AACI) from a group of shareholders for $1.6 billion in a reverse merger transaction.,letter_of_intent,True,1600.0,for-pattern,
1758578780.0,2021,2021-11-16,"SoundHound AI, Inc.",Archimedes Tech SPAC Partners Co.,Target,SoundHound Inc. entered into a definitive merger agreement to acquire Archimedes Tech SPAC Partners Co. (NasdaqCM:ATSP.U) from Archimedes Tech SPAC Sponsors LLC and others for $2 billion in a reverse merger transaction.,definitive_agreement,True,2000.0,for-pattern,038087
1865086585.0,2023,2023-12-15,"Fury Resources, Inc.",Gen IV Investment Opportunities LLC,Seller,"Fury Resources, Inc. entered into an agreement and plan of merger to acquire Battalion Oil Corporation (NYSEAM:BATL) from Luminus Management, LLC, Oaktree Capital Management, L.P. and others for approximately $160 million.",agreement,False,160.0,for-pattern,
217624204.0,2012,2012-09-24,"Advent International, L.P.","Templeton Investment Counsel, LLC",Seller,"Advent International Corporation made an offer to acquire Mediq NV (ENXTAM:MEDIQ) from Silchester International Investors Ltd, Franklin Templeton Investments Corp., Templeton Investment Counsel, LLC and others for approximately €770 million.",proposal,False,,none,
1865367249.0,2023,2023-12-19,Space42 PLC,Al Yah Satellite Communication Company PJSC,Target,Bayanat AI PLC (ADX:BAYANAT) agreed to acquire Al Yah Satellite Communication Company PJSC (ADX:YAHSAT) from Mamoura Diversified Global Holding PJSC and others for AED 7.6 billion.,agreement,False,,none,349591
1985391484.0,2026,2026-02-17,XTEND Reality Expansion Ltd,JFB Construction Holdings,Target,"XTEND Reality Expansion Ltd executed letter of intent to acquire JFB Construction Holdings (NasdaqCM:JFB) from The Basile Family Irrevocable Trust, Joseph F. Basile III, Series Xiv Jfb, a fund managed by American Ventures Management LLC and others for $1.5 billion in a reverse merger transaction.",definitive_agreement,False,1500.0,for-pattern,045802
1946909145.0,2025,2025-06-05,Diginex Limited,Blue Penny Pte. Ltd.,Seller,Diginex Limited (NasdaqCM:DGNX) entered into a Sale and Purchase Agreement to acquire Resulticks Global Companies Pte Ltd from a group of shareholders for $1.5 billion.,definitive_agreement,False,1500.0,for-pattern,
